3_min_period,centroids,count,distances_below_threshold
1735419240,"[(262.5, 219.0), (183.5, 166.5), (67.0, 155.0), (59.5, 182.5), (31.5, 233.0), (152.5, 147.0), (81.5, 120.0), (75.0, 135.0), (137.5, 137.0), (262.5, 219.0), (101.0, 193.0), (183.5, 167.0), (66.5, 155.5), (32.0, 233.0), (59.0, 182.0), (116.0, 140.0), (81.5, 120.5)]",17,"[((262.5, 219.0), (262.5, 219.0), 0.0), ((183.5, 166.5), (183.5, 167.0), 0.5), ((67.0, 155.0), (66.5, 155.5), 0.7071067811865476), ((59.5, 182.5), (59.0, 182.0), 0.7071067811865476), ((31.5, 233.0), (32.0, 233.0), 0.5), ((81.5, 120.0), (81.5, 120.5), 0.5)]"
1735776360,"[(233.5, 202.0), (33.5, 223.0), (107.0, 134.5), (181.5, 167.5), (53.5, 180.0), (68.5, 156.0), (152.5, 146.0), (76.0, 138.0), (110.0, 123.0), (122.0, 137.0), (233.0, 201.5), (159.5, 205.5), (33.5, 223.0), (183.0, 168.5), (62.5, 166.0), (153.0, 145.5), (51.5, 186.5)]",17,"[((233.5, 202.0), (233.0, 201.5), 0.7071067811865476), ((33.5, 223.0), (33.5, 223.0), 0.0), ((181.5, 167.5), (183.0, 168.5), 1.8027756377319946), ((152.5, 146.0), (153.0, 145.5), 0.7071067811865476)]"
1735581060,"[(262.0, 218.5), (166.0, 156.0), (62.5, 171.0), (92.0, 119.0), (73.0, 141.0), (133.0, 133.0), (149.0, 146.0), (262.5, 218.5), (94.5, 123.5), (166.5, 155.5), (113.5, 132.0), (68.0, 152.0), (140.0, 138.5), (77.5, 135.5), (84.0, 117.5), (201.0, 165.5), (128.0, 132.5)]",17,"[((262.0, 218.5), (262.5, 218.5), 0.5), ((166.0, 156.0), (166.5, 155.5), 0.7071067811865476)]"
1735427160,"[(263.0, 219.0), (183.5, 166.0), (124.0, 149.5), (59.5, 186.5), (32.5, 233.0), (146.5, 142.0), (108.5, 140.0), (75.5, 133.0), (80.0, 122.5), (130.5, 132.5), (65.5, 160.0), (263.5, 219.0), (46.0, 197.5), (91.0, 164.5), (164.5, 153.5), (35.0, 233.5), (79.5, 122.5)]",17,"[((263.0, 219.0), (263.5, 219.0), 0.5), ((32.5, 233.0), (35.0, 233.5), 2.5495097567963922), ((80.0, 122.5), (79.5, 122.5), 0.5)]"
1735580520,"[(38.5, 221.0), (221.5, 188.5), (166.0, 155.5), (62.5, 171.0), (74.0, 140.5), (95.5, 129.5), (83.5, 116.0), (37.5, 223.5), (262.0, 218.5), (182.5, 166.5), (92.0, 124.0), (62.0, 170.5), (151.5, 146.0), (73.5, 141.0), (138.0, 137.5), (101.0, 117.5), (128.5, 132.5)]",17,"[((38.5, 221.0), (37.5, 223.5), 2.692582403567252), ((62.5, 171.0), (62.0, 170.5), 0.7071067811865476), ((74.0, 140.5), (73.5, 141.0), 0.7071067811865476)]"
1735416720,"[(263.0, 219.0), (182.5, 166.5), (223.5, 185.0), (31.0, 232.5), (66.5, 155.0), (153.0, 144.0), (115.0, 135.5), (45.0, 196.5), (75.0, 137.0), (264.0, 219.0), (118.0, 201.5), (184.0, 163.0), (30.5, 232.5), (66.5, 155.5), (153.0, 144.0), (45.5, 196.0), (74.5, 141.5)]",17,"[((263.0, 219.0), (264.0, 219.0), 1.0), ((31.0, 232.5), (30.5, 232.5), 0.5), ((66.5, 155.0), (66.5, 155.5), 0.5), ((153.0, 144.0), (153.0, 144.0), 0.0), ((45.0, 196.5), (45.5, 196.0), 0.7071067811865476)]"
1735416180,"[(200.0, 213.0), (115.5, 198.0), (146.0, 170.0), (118.5, 229.5), (45.0, 196.0), (31.5, 232.5), (182.5, 166.5), (152.5, 144.0), (101.0, 155.5), (262.5, 219.0), (182.5, 166.0), (154.0, 143.5), (45.0, 196.0), (31.5, 232.5), (67.5, 155.5), (137.5, 137.5), (77.0, 132.0)]",17,"[((45.0, 196.0), (45.0, 196.0), 0.0), ((31.5, 232.5), (31.5, 232.5), 0.0), ((182.5, 166.5), (182.5, 166.0), 0.5), ((152.5, 144.0), (154.0, 143.5), 1.5811388300841898)]"
1735415640,"[(262.5, 218.5), (183.5, 166.0), (153.0, 145.0), (31.0, 232.5), (92.5, 124.5), (65.0, 155.5), (118.5, 125.0), (137.0, 137.0), (81.5, 120.0), (262.0, 219.0), (183.5, 166.5), (32.0, 232.5), (153.0, 144.5), (81.5, 121.0), (118.5, 125.0), (65.0, 154.5), (76.5, 131.5)]",17,"[((262.5, 218.5), (262.0, 219.0), 0.7071067811865476), ((183.5, 166.0), (183.5, 166.5), 0.5), ((153.0, 145.0), (153.0, 144.5), 0.5), ((31.0, 232.5), (32.0, 232.5), 1.0), ((65.0, 155.5), (65.0, 154.5), 1.0), ((118.5, 125.0), (118.5, 125.0), 0.0), ((81.5, 120.0), (81.5, 121.0), 1.0)]"
1735558020,"[(262.5, 219.5), (180.5, 166.5), (144.5, 143.0), (121.0, 126.0), (51.5, 192.0), (24.5, 229.0), (63.5, 164.5), (90.5, 119.0), (262.5, 219.0), (180.0, 166.5), (27.0, 229.5), (145.0, 143.5), (52.0, 192.0), (121.5, 126.0), (63.0, 164.5), (73.5, 139.5), (91.0, 121.0)]",17,"[((262.5, 219.5), (262.5, 219.0), 0.5), ((180.5, 166.5), (180.0, 166.5), 0.5), ((144.5, 143.0), (145.0, 143.5), 0.7071067811865476), ((121.0, 126.0), (121.5, 126.0), 0.5), ((51.5, 192.0), (52.0, 192.0), 0.5), ((24.5, 229.0), (27.0, 229.5), 2.5495097567963922), ((63.5, 164.5), (63.0, 164.5), 0.5), ((90.5, 119.0), (91.0, 121.0), 2.0615528128088303)]"
1735408620,"[(208.0, 186.0), (145.5, 142.0), (164.5, 155.0), (81.5, 119.5), (42.5, 219.0), (113.0, 126.0), (124.0, 125.0), (57.5, 185.0), (65.5, 155.5), (208.0, 186.5), (163.5, 155.5), (146.0, 142.0), (81.5, 119.5), (117.0, 125.0), (65.5, 156.0), (42.0, 219.5), (57.0, 182.5)]",17,"[((208.0, 186.0), (208.0, 186.5), 0.5), ((145.5, 142.0), (146.0, 142.0), 0.5), ((164.5, 155.0), (163.5, 155.5), 1.118033988749895), ((81.5, 119.5), (81.5, 119.5), 0.0), ((42.5, 219.0), (42.0, 219.5), 0.7071067811865476), ((57.5, 185.0), (57.0, 182.5), 2.5495097567963922), ((65.5, 155.5), (65.5, 156.0), 0.5)]"
1735569540,"[(119.0, 199.5), (214.5, 188.5), (61.5, 185.5), (27.0, 233.0), (166.0, 156.0), (93.0, 124.0), (65.0, 155.5), (132.0, 130.0), (74.5, 138.0), (213.5, 188.5), (61.5, 184.5), (170.0, 157.5), (27.5, 233.0), (95.5, 126.5), (132.0, 130.5), (75.5, 137.5), (64.0, 156.0)]",17,"[((214.5, 188.5), (213.5, 188.5), 1.0), ((61.5, 185.5), (61.5, 184.5), 1.0), ((27.0, 233.0), (27.5, 233.0), 0.5), ((65.0, 155.5), (64.0, 156.0), 1.118033988749895), ((132.0, 130.0), (132.0, 130.5), 0.5), ((74.5, 138.0), (75.5, 137.5), 1.118033988749895)]"
1735569000,"[(263.5, 213.5), (91.0, 137.5), (170.5, 156.5), (26.5, 233.0), (62.0, 170.5), (95.0, 123.0), (106.5, 137.0), (83.0, 122.0), (74.5, 138.0), (139.0, 137.0), (263.0, 213.5), (170.0, 157.0), (61.5, 171.0), (27.5, 233.0), (139.5, 138.0), (81.5, 120.0), (73.5, 141.5)]",17,"[((263.5, 213.5), (263.0, 213.5), 0.5), ((170.5, 156.5), (170.0, 157.0), 0.7071067811865476), ((26.5, 233.0), (27.5, 233.0), 1.0), ((62.0, 170.5), (61.5, 171.0), 0.7071067811865476), ((83.0, 122.0), (81.5, 120.0), 2.5), ((139.0, 137.0), (139.5, 138.0), 1.118033988749895)]"
